Title,Track,Artist,Song
Best of Rock Vol. XXI,11,Stone Temple Pilots,Interstate Love Song
Best of Rock Vol. XXI,12,Primus,Jerry Was a Racecar Driver
Best of Rock Vol. XXI,13,Bush,Everything Zen
Best of Rock Vol. XXI,14,Interpol,PDA
Best of Rock Vol. XXI,15,Bad Religion,Against the Grain
Best of Rock Vol. XXI,16,Sevendust,Black
Best of Rock Vol. XXI,17,Foo Fighters,This Is a Call
Best of Rock Vol. XXI,18,The Damned,Ballroom Blitz
Best of Rock Vol. XXII,1,Cursive,A Gentleman Caller
Best of Rock Vol. XXII,2,Filter,Hey Man Nice Shot
Best of Rock Vol. XXII,3,Depeche Mode,Enjoy the Silence
Best of Rock Vol. XXII,4,Modest Mouse,Float On
Best of Rock Vol. XXII,5,Nine Inch Nails,We're In This Together
Best of Rock Vol. XXII,6,Brand New,Sic Transit Gloria...Glory Fades
Best of Rock Vol. XXII,7,Rage Against the Machine,Bulls On Parade
Best of Rock Vol. XXII,8,Incubus,Megalomaniac
Best of Rock Vol. XXII,9,Pigface,Suck
Best of Rock Vol. XXII,10,Radiohead,Paranoid Android
Best of Rock Vol. XXII,11,Dead Kennedys,Kill the Poor
Best of Rock Vol. XXII,12,Cake,"Short Skirt, Long Jacket"
Best of Rock Vol. XXII,13,Beastie Boys,Fight for Your Right
Best of Rock Vol. XXII,14,Violent Femmes,Country Death Song
Best of Rock Vol. XXII,15,White Zombie,Thunderkiss '65
Best of Rock Vol. XXII,16,The Clash,Rock the Casbah
